actual,predicted
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,employer
occupation,occupation
UNK,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,occupation
occupation,occupation
occupation,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
occupation,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
occupation,occupation
employer,employer
employer,employer
UNK,occupation
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
UNK,UNK
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
UNK,employer
occupation,occupation
employer,employer
employer,employer
UNK,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
UNK,employer
UNK,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
UNK,employer
employer,employer
employer,employer
employer,employer
UNK,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
occupation,occupation
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
employer,employer
occupation,occupation
